Grid count: 105
ModeA, all players visit all tiles
Player 3 visited (2, 6)
Player 2 visited (6, 7)
Player 4 visited (1, 7)
Player 3 visited (2, 5)
Player 4 visited (2, 7)
Player 2 visited (7, 7)
Player 3 visited (2, 6)
Player 4 visited (3, 7)
Player 2 visited (8, 7)
Player 3 visited (2, 7)
Player 4 visited (4, 7)
Player 3 visited (3, 7)
Player 2 visited (9, 7)
Player 4 visited (5, 7)
Player 3 visited (4, 7)
Player 2 visited (10, 7)
Player 2 visited (10, 6)
Player 4 visited (6, 7)
Player 3 visited (5, 7)
Player 2 visited (10, 7)
Player 4 visited (7, 7)
Player 2 visited (9, 7)
Player 3 visited (5, 8)
Player 3 visited (6, 7)
Player 3 visited (6, 8)
Player 4 visited (8, 7)
Player 3 visited (7, 8)
Player 3 visited (7, 7)
Player 2 visited (8, 7)
Player 4 visited (8, 6)
Player 2 visited (8, 6)
Player 3 visited (8, 8)
Player 4 visited (8, 5)
Player 2 visited (8, 7)
Player 2 visited (9, 7)
Player 3 visited (9, 8)
Player 4 visited (8, 4)
Player 2 visited (10, 7)
Player 0 visited (10, 8)
Player 3 visited (10, 8)
Player 4 visited (8, 3)
Player 2 visited (11, 7)
Player 4 visited (8, 2)
Player 2 visited (12, 7)
Player 4 visited (8, 3)
Player 2 visited (12, 6)
Player 4 visited (8, 4)
Player 3 visited (13, 9)
Player 2 visited (12, 5)
Player 4 visited (8, 5)
Player 2 visited (12, 4)
Player 4 visited (8, 6)
Player 2 visited (12, 3)
Player 4 visited (8, 7)
Player 3 visited (10, 8)
Player 3 visited (10, 9)
Player 2 visited (12, 2)
Player 4 visited (7, 7)
Player 3 visited (10, 9)
Player 2 visited (12, 1)
Player 4 visited (6, 7)
Player 2 visited (11, 1)
Player 4 visited (5, 7)
Player 2 visited (10, 1)
Player 0 visited (10, 8)
Player 3 visited (9, 8)
Player 4 visited (4, 7)
Player 4 visited (4, 6)
Player 1 visited (8, 8)
Player 2 visited (9, 1)
Player 0 visited (10, 9)
Player 3 visited (8, 8)
Player 1 visited (7, 8)
Player 4 visited (4, 7)
Player 2 visited (8, 1)
Player 0 visited (10, 10)
Player 4 visited (5, 7)
Player 3 visited (7, 8)
Player 0 visited (11, 10)
Player 1 visited (6, 8)
Player 2 visited (7, 1)
Player 0 visited (11, 11)
Player 3 visited (6, 8)
Player 4 visited (6, 7)
Player 1 visited (5, 8)
Player 2 visited (6, 1)
Player 0 visited (11, 12)
Player 3 visited (5, 8)
Player 2 visited (6, 2)
Player 4 visited (7, 7)
Player 4 visited (7, 8)
Player 4 visited (6, 8)
Player 1 visited (4, 8)
Player 0 visited (11, 13)
Player 3 visited (4, 8)
Player 1 visited (4, 9)
Player 2 visited (6, 3)
Player 4 visited (8, 8)
Player 4 visited (8, 7)
Player 3 visited (4, 9)
Player 0 visited (11, 14)
Player 1 visited (4, 10)
Player 2 visited (6, 4)
Player 4 visited (9, 8)
Player 3 visited (4, 10)
Player 0 visited (11, 13)
Player 2 visited (6, 3)
Player 1 visited (4, 11)
Player 4 visited (10, 8)
Player 3 visited (4, 11)
Player 4 visited (10, 9)
Player 0 visited (11, 12)
Player 1 visited (4, 12)
Player 2 visited (6, 2)
Player 3 visited (4, 12)
Player 0 visited (11, 11)
Player 4 visited (11, 10)
Player 1 visited (4, 13)
Player 2 visited (6, 1)
Player 3 visited (4, 13)
Player 2 visited (7, 1)
Player 0 visited (11, 10)
Player 1 visited (4, 14)
Player 4 visited (12, 10)
Player 0 visited (10, 10)
Player 4 visited (11, 11)
Player 4 visited (12, 11)
Player 3 visited (4, 14)
Player 2 visited (8, 1)
Player 0 visited (10, 9)
Player 4 visited (12, 10)
Player 1 visited (4, 13)
Player 4 visited (11, 11)
Player 4 visited (11, 10)
Player 2 visited (9, 1)
Player 3 visited (4, 13)
Player 0 visited (10, 8)
Player 0 visited (9, 8)
Player 1 visited (4, 12)
Player 2 visited (10, 1)
Player 2 visited (10, 2)
Player 4 visited (10, 9)
Player 4 visited (10, 10)
Player 3 visited (4, 12)
Player 1 visited (4, 11)
Player 0 visited (8, 8)
Player 3 visited (4, 11)
Player 2 visited (10, 3)
Player 4 visited (10, 8)
Player 1 visited (4, 10)
Player 4 visited (9, 8)
Player 0 visited (7, 8)
Player 3 visited (4, 10)
Player 2 visited (10, 4)
Player 0 visited (7, 7)
Player 1 visited (4, 9)
Player 3 visited (3, 10)
Player 0 visited (6, 8)
Player 0 visited (6, 7)
Player 4 visited (8, 8)
Player 2 visited (10, 5)
Player 1 visited (4, 8)
Player 3 visited (2, 10)
Player 0 visited (5, 7)
Player 4 visited (7, 8)
Player 1 visited (5, 8)
Player 2 visited (10, 6)
Player 4 visited (6, 8)
Player 3 visited (1, 10)
Player 0 visited (4, 7)
Player 1 visited (6, 8)
Player 3 visited (1, 9)
Player 2 visited (10, 7)
Player 2 visited (11, 7)
Player 4 visited (5, 8)
Player 0 visited (3, 7)
Player 1 visited (7, 8)
Player 3 visited (1, 8)
Player 1 visited (7, 7)
Player 4 visited (4, 8)
Player 0 visited (2, 7)
Player 1 visited (8, 8)
Player 0 visited (2, 6)
Player 1 visited (8, 7)
Player 4 visited (4, 9)
Player 3 visited (1, 7)
Player 3 visited (2, 7)
Player 1 visited (9, 7)
Player 0 visited (2, 5)
Player 2 visited (13, 9)
Player 2 visited (13, 8)
Player 4 visited (4, 10)
Player 3 visited (3, 7)
Player 1 visited (10, 7)
Player 0 visited (2, 4)
Player 4 visited (4, 11)
Player 2 visited (13, 8)
Player 3 visited (4, 7)
Player 1 visited (11, 7)
Player 0 visited (2, 3)
Player 4 visited (4, 12)
Player 2 visited (13, 7)
Player 3 visited (5, 7)
Player 1 visited (12, 7)
Player 0 visited (2, 2)
Player 4 visited (4, 13)
Player 1 visited (12, 6)
Player 2 visited (13, 6)
Player 3 visited (6, 7)
Player 0 visited (2, 1)
Player 4 visited (4, 14)
Player 2 visited (12, 6)
Player 1 visited (12, 5)
Player 0 visited (3, 1)
Player 3 visited (7, 7)
Player 2 visited (12, 7)
Player 4 visited (4, 13)
Player 2 visited (11, 7)
Player 1 visited (12, 4)
Player 0 visited (4, 1)
Player 3 visited (8, 7)
Player 0 visited (4, 2)
Player 4 visited (4, 12)
Player 2 visited (10, 7)
Player 1 visited (12, 3)
Player 3 visited (9, 7)
Player 0 visited (4, 3)
Player 4 visited (4, 11)
Player 2 visited (9, 7)
Player 1 visited (12, 2)
Player 3 visited (10, 7)
Player 0 visited (4, 2)
Player 4 visited (4, 10)
Player 2 visited (8, 7)
Player 1 visited (12, 1)
Player 3 visited (11, 7)
Player 1 visited (11, 1)
Player 0 visited (4, 1)
Player 4 visited (4, 9)
Player 0 visited (5, 1)
Player 2 visited (7, 7)
Player 3 visited (12, 7)
Player 1 visited (10, 1)
Player 4 visited (4, 8)
Player 2 visited (6, 7)
Player 4 visited (5, 8)
Player 0 visited (6, 1)
Player 3 visited (13, 7)
Player 1 visited (9, 1)
Player 2 visited (5, 7)
Player 0 visited (7, 1)
Player 3 visited (12, 7)
Player 4 visited (6, 8)
Player 1 visited (8, 1)
Player 2 visited (4, 7)
Player 0 visited (8, 1)
Player 3 visited (11, 7)
Player 4 visited (7, 8)
Player 1 visited (8, 2)
Player 2 visited (3, 7)
Player 3 visited (10, 7)
Player 4 visited (8, 8)
Player 0 visited (9, 1)
Player 1 visited (7, 1)
Player 2 visited (2, 7)
Player 3 visited (9, 7)
Player 4 visited (9, 8)
Player 0 visited (10, 1)
Player 1 visited (6, 1)
Player 2 visited (2, 6)
Player 0 visited (10, 2)
Player 3 visited (8, 7)
Player 4 visited (10, 8)
Player 1 visited (5, 1)
Player 2 visited (2, 5)
Player 0 visited (10, 3)
Player 3 visited (7, 7)
Player 1 visited (4, 1)
Player 2 visited (1, 5)
Player 2 visited (2, 4)
Player 1 visited (4, 2)
Player 2 visited (1, 4)
Player 0 visited (10, 4)
Player 3 visited (6, 7)
Player 2 visited (1, 3)
Player 1 visited (4, 3)
Player 0 visited (10, 5)
Player 3 visited (5, 7)
Player 4 visited (13, 8)
Player 0 visited (10, 4)
Player 2 visited (1, 4)
Player 1 visited (4, 4)
Player 3 visited (4, 7)
Player 2 visited (2, 4)
Player 0 visited (10, 3)
Player 1 visited (4, 5)
Player 2 visited (2, 5)
Player 2 visited (1, 5)
Player 3 visited (3, 7)
Player 0 visited (10, 2)
Player 1 visited (4, 6)
Player 2 visited (2, 6)
Player 3 visited (2, 7)
Player 4 visited (10, 8)
Player 0 visited (10, 1)
Player 1 visited (4, 7)
Player 3 visited (2, 6)
Player 0 visited (9, 1)
Player 4 visited (9, 8)
Player 2 visited (2, 7)
Player 1 visited (4, 8)
Player 2 visited (3, 7)
Player 3 visited (2, 5)
Player 0 visited (8, 1)
Player 4 visited (8, 8)
Player 0 visited (8, 2)
Player 1 visited (4, 9)
Player 3 visited (1, 5)
Player 2 visited (4, 7)
Player 3 visited (2, 4)
Player 3 visited (1, 4)
Player 4 visited (7, 8)
Player 0 visited (8, 3)
Player 1 visited (4, 10)
Player 2 visited (5, 7)
Player 3 visited (1, 3)
Player 4 visited (6, 8)
Player 1 visited (4, 11)
Player 0 visited (8, 4)
Player 2 visited (5, 8)
Player 2 visited (6, 7)
Player 4 visited (5, 8)
Player 2 visited (6, 8)
Player 3 visited (1, 2)
Player 1 visited (4, 12)
Player 0 visited (8, 5)
Player 3 visited (1, 3)
Player 2 visited (7, 8)
Player 2 visited (7, 7)
Player 4 visited (4, 8)
Player 4 visited (4, 9)
Player 1 visited (4, 13)
Player 0 visited (8, 6)
Player 3 visited (2, 3)
Player 2 visited (8, 8)
Player 3 visited (1, 4)
Player 3 visited (2, 4)
Player 1 visited (4, 14)
Player 0 visited (8, 7)
Player 4 visited (4, 10)
Player 0 visited (9, 7)
Player 2 visited (9, 8)
Player 1 visited (3, 14)
Player 3 visited (2, 5)
Player 4 visited (4, 11)
Player 0 visited (10, 7)
Player 1 visited (4, 14)
Player 2 visited (10, 8)
Player 3 visited (2, 6)
Player 1 visited (4, 13)
Player 2 visited (10, 9)
Player 4 visited (4, 12)
Player 0 visited (11, 7)
Player 3 visited (2, 7)
Player 3 visited (3, 7)
Player 1 visited (4, 12)
Player 4 visited (4, 13)
Player 0 visited (12, 7)
Player 0 visited (12, 6)
Player 3 visited (4, 7)
Player 2 visited (12, 10)
Player 1 visited (4, 11)
Player 4 visited (4, 14)
Player 0 visited (13, 6)
Player 4 visited (3, 14)
Player 2 visited (13, 10)
Player 3 visited (5, 7)
Player 1 visited (4, 10)
Player 0 visited (13, 5)
Player 4 visited (4, 14)
Player 2 visited (13, 9)
Player 3 visited (6, 7)
Player 4 visited (4, 13)
Player 1 visited (4, 9)
Player 0 visited (13, 4)
Player 0 visited (12, 4)
Player 0 visited (12, 5)
Player 2 visited (13, 8)
Player 3 visited (7, 7)
Player 1 visited (4, 8)
Player 4 visited (4, 12)
Player 1 visited (5, 8)
Player 0 visited (13, 3)
Player 0 visited (12, 3)
Player 2 visited (13, 7)
Player 3 visited (8, 7)
Player 4 visited (4, 11)
Player 0 visited (12, 2)
Player 1 visited (6, 8)
Player 2 visited (13, 6)
Player 3 visited (9, 7)
Player 4 visited (4, 10)
Player 0 visited (12, 1)
Player 1 visited (7, 8)
Player 2 visited (13, 5)
Player 3 visited (10, 7)
Player 4 visited (4, 9)
Player 3 visited (10, 6)
Player 0 visited (12, 2)
Player 1 visited (8, 8)
Player 2 visited (13, 4)
Player 4 visited (4, 8)
Player 3 visited (10, 7)
Player 0 visited (12, 3)
Player 1 visited (9, 8)
Player 3 visited (11, 7)
Player 2 visited (13, 3)
Player 2 visited (12, 3)
Player 4 visited (4, 7)
Player 0 visited (12, 4)
Player 1 visited (10, 8)
Player 4 visited (3, 7)
Player 3 visited (12, 7)
Player 2 visited (12, 2)
Player 1 visited (10, 9)
Player 3 visited (12, 6)
Player 0 visited (12, 5)
Player 4 visited (2, 7)
Player 2 visited (12, 1)
Player 4 visited (2, 6)
Player 3 visited (12, 5)
Player 1 visited (11, 10)
Player 1 visited (10, 10)
Player 2 visited (11, 1)
Player 0 visited (12, 6)
Player 3 visited (13, 5)
Player 4 visited (2, 5)
Player 3 visited (13, 4)
Player 1 visited (11, 11)
Player 2 visited (10, 1)
Player 0 visited (12, 7)
Player 4 visited (2, 4)
Player 3 visited (13, 5)
Player 1 visited (11, 12)
Player 2 visited (9, 1)
Player 3 visited (12, 5)
Player 4 visited (1, 4)
Player 4 visited (2, 3)
Player 4 visited (1, 3)
Player 1 visited (11, 11)
Player 2 visited (8, 1)
Player 3 visited (12, 6)
Player 4 visited (1, 2)
Player 1 visited (11, 10)
Player 2 visited (7, 1)
Player 0 visited (12, 10)
Player 3 visited (12, 7)
Player 1 visited (10, 10)
Player 3 visited (11, 7)
Player 4 visited (1, 1)
Player 1 visited (10, 9)
Player 2 visited (6, 1)
Player 0 visited (12, 11)
Player 3 visited (10, 7)
Player 4 visited (1, 2)
Player 2 visited (5, 1)
Player 0 visited (12, 12)
Player 1 visited (10, 8)
Player 1 visited (9, 8)
Player 3 visited (9, 7)
Player 4 visited (1, 3)
Player 0 visited (12, 13)
Player 2 visited (4, 1)
Player 1 visited (8, 8)
Player 3 visited (8, 7)
Player 4 visited (1, 4)
Player 0 visited (12, 12)
Player 2 visited (3, 1)
Player 1 visited (7, 8)
Player 3 visited (7, 7)
Player 4 visited (1, 5)
Player 2 visited (4, 1)
Player 0 visited (12, 11)
Player 1 visited (6, 8)
Player 3 visited (6, 7)
Player 4 visited (1, 4)
Player 2 visited (5, 1)
Player 0 visited (12, 10)
Player 4 visited (2, 4)
Player 1 visited (5, 8)
Player 3 visited (5, 7)
Player 4 visited (2, 3)
Player 4 visited (1, 3)
Player 2 visited (6, 1)
Player 1 visited (4, 8)
Player 3 visited (4, 7)
Player 4 visited (2, 2)
Player 2 visited (7, 1)
Player 1 visited (4, 9)
Player 3 visited (3, 7)
Player 2 visited (8, 1)
Player 0 visited (12, 7)
Player 4 visited (2, 1)
Player 1 visited (4, 10)
Player 2 visited (8, 2)
Player 4 visited (3, 1)
Player 3 visited (2, 7)
Player 1 visited (3, 10)
Player 3 visited (2, 6)
Player 0 visited (12, 6)
Player 2 visited (8, 3)
Player 4 visited (4, 1)
Player 3 visited (1, 6)
Player 1 visited (2, 10)
Player 0 visited (12, 5)
Player 2 visited (8, 4)
Player 4 visited (5, 1)
Player 3 visited (2, 6)
Player 1 visited (1, 10)
Player 0 visited (12, 4)
Player 3 visited (2, 7)
Player 2 visited (8, 5)
Player 4 visited (6, 1)
Player 1 visited (2, 10)
Player 4 visited (6, 2)
Player 3 visited (3, 7)
Player 0 visited (12, 3)
Player 2 visited (8, 6)
Player 1 visited (3, 10)
Player 4 visited (6, 3)
Player 3 visited (4, 7)
Player 0 visited (12, 2)
Player 2 visited (8, 7)
Player 1 visited (4, 10)
Player 2 visited (7, 7)
Player 3 visited (5, 7)
Player 4 visited (6, 4)
Player 0 visited (12, 1)
Player 1 visited (4, 9)
Player 0 visited (11, 1)
Player 4 visited (6, 5)
Player 2 visited (6, 7)
Player 3 visited (6, 7)
Player 1 visited (4, 8)
Player 2 visited (6, 6)
Player 0 visited (10, 1)
Player 1 visited (5, 8)
Player 4 visited (6, 6)
